Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,STS17 (ar-ar),STS17 (en-ar),STS17 (en-de),STS17 (en-tr),STS17 (es-en),STS17 (es-es),STS17 (fr-en),STS17 (it-en),STS17 (ko-ko),STS17 (nl-en),STS22 (ar),STS22 (de),STS22 (de-en),STS22 (de-fr),STS22 (de-pl),STS22 (es),STS22 (es-en),STS22 (es-it),STS22 (fr),STS22 (fr-pl),STS22 (it),STS22 (pl),STS22 (pl-en),STS22 (ru),STS22 (tr),STS22 (zh-en),STSBenchmark,Subset,Task category
94,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-small-Embedding-v0"">GIST-small-Embedding-v0</a>",33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.08,other-sts,STS
95,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0"">NoInstruct-small-Embedding-v0</a>",33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.98,other-sts,STS
96,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aws-neuron/bge-base-en-v1-5-seqlen-384-bs-1"">bge-base-en-v1-5-seqlen-384-bs-1</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.42,other-sts,STS
97,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bert-base-uncased"">bert-base-uncased</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.29,other-sts,STS
98,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience-data/sgpt-bloom-1b7-nli"">sgpt-bloom-1b7-nli</a>",1722,6.42,,,,,,,,,,,,,,,,,,,,73.13,,,,,,,,,other-sts,STS
99,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/biswa921/bge-m3"">bge-m3</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.85,other-sts,STS
100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/consciousAI/cai-lunaris-text-embeddings"">cai-lunaris-text-embeddings</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.4,other-sts,STS
101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-base"">sentence-camembert-base</a>",110,0.41,,,,,,,,,,,,,,,,,,,,77.54,,,,,,,,,other-sts,STS
102,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,,,,,,,,,,,,,,,,,,,,81.73,,,,,,,,,other-sts,STS
103,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepfile/embedder-100p"">embedder-100p</a>",278,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2,other-sts,STS
104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/djovak/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.98,other-sts,STS
105,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dwzhu/e5-base-4k"">e5-base-4k</a>",112,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.52,other-sts,STS
106,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/dpr-ctx_encoder-multiset-base"">facebook-dpr-ctx_encoder-multiset-base</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.54,other-sts,STS
107,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,,,,,,,,,,,,,,,,,,,,65.37,,,,,,,,,other-sts,STS
108,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,,,,,,,,,,,,,,,,,,,,55.15,,,,,,,,,other-sts,STS
109,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,,,,,,,,,,,,,,,,,,,,48.52,,,,,,,,,other-sts,STS
110,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,,,,,,,,,,,,,,,,,,,,39.05,,,,,,,,,other-sts,STS
111,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,,,,,,,,,,,,,,,,,,,,56.47,,,,,,,,,other-sts,STS
112,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-base"">instructor-base</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.43,other-sts,STS
113,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-large"">instructor-large</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.88,other-sts,STS
114,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-xl"">instructor-xl</a>",1241,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.56,other-sts,STS
115,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-en-v2"">stella-base-en-v2</a>",55,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.45,other-sts,STS
116,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base"">e5-base</a>",109,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.18,other-sts,STS
117,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base-v2"">e5-base-v2</a>",109,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.52,other-sts,STS
118,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large"">e5-large</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.21,other-sts,STS
119,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large-v2"">e5-large-v2</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.74,other-sts,STS
120,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small"">e5-small</a>",33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.36,other-sts,STS
121,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small-v2"">e5-small-v2</a>",33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.95,other-sts,STS
122,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.38,other-sts,STS
123,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/herbert-base-retrieval-v2"">herbert-base-retrieval-v2</a>",125,0.47,,,,,,,,,,,,,,,,,,,,,,,39.73,,,,,,other-sts,STS
124,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/silver-retriever-base-v1"">silver-retriever-base-v1</a>",125,0.47,,,,,,,,,,,,,,,,,,,,,,,38.69,,,,,,other-sts,STS
125,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.71,other-sts,STS
126,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.02,other-sts,STS
127,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jamesgpt1/sf_model_e5"">sf_model_e5</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.33,other-sts,STS
128,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-b-en-v1"">jina-embedding-b-en-v1</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.57,other-sts,STS
129,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-l-en-v1"">jina-embedding-l-en-v1</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.6,other-sts,STS
130,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-s-en-v1"">jina-embedding-s-en-v1</a>",35,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.2,other-sts,STS
131,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-de"">jina-embeddings-v2-base-de</a>",161,0.6,,,,86.72,,,,,,,,,59.07,55.97,,,,,,,,,,,,,,88.14,other-sts,STS
132,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-en"">jina-embeddings-v2-base-en</a>",137,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.84,other-sts,STS
133,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-es"">jina-embeddings-v2-base-es</a>",161,0.6,,,,,,86.49,88.25,,,,,,,,,,67.97,78.8,,,,,,,,,,87.84,other-sts,STS
134,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-small-en"">jina-embeddings-v2-small-en</a>",33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.04,other-sts,STS
135,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jspringer/echo-mistral-7b-instruct-lasttoken"">echo-mistral-7b-instruct-lasttoken</a>",7111,26.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.67,other-sts,STS
136,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/MegatronBert-1B3-embedding"">MegatronBert-1B3-embedding</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.69,other-sts,STS
137,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-0B6-embedding"">XLM-0B6-embedding</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5,other-sts,STS
138,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-3B5-embedding"">XLM-3B5-embedding</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.46,other-sts,STS
139,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/llmrails/ember-v1"">ember-v1</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.77,other-sts,STS
140,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,,,,,,,,,,,,,,,,,,,,81.7,,,,,,,,,other-sts,STS
141,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,,,,,,,,,,,,,,,,,,,,75.66,,,,,,,,,other-sts,STS
142,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,,,,,,,,,,,,,,,,,,,,78.68,,,,,,,,,other-sts,STS
143,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,,,,,,,,,,,,,,,,,,,,80.8,,,,,,,,,other-sts,STS
144,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,,,,,,,,,,,,,,,,,,,,82.35,,,,,,,,,other-sts,STS
145,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1"">mxbai-embed-2d-large-v1</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2,other-sts,STS
146,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1"">mxbai-embed-large-v1</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.1,other-sts,STS
147,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-quant"">bge-base-en-v1.5-quant</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.79,other-sts,STS
148,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-sparse"">bge-base-en-v1.5-sparse</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.93,other-sts,STS
149,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-large-en-v1.5-quant"">bge-large-en-v1.5-quant</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.89,other-sts,STS
150,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-large-en-v1.5-sparse"">bge-large-en-v1.5-sparse</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.88,other-sts,STS
151,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-quant"">bge-small-en-v1.5-quant</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.31,other-sts,STS
152,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-sparse"">bge-small-en-v1.5-sparse</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.77,other-sts,STS
153,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nickprock/mmarco-bert-base-italian-uncased"">mmarco-bert-base-italian-uncased</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,69.44,,,,,,,other-sts,STS
154,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nickprock/mmarco-sentence-flare-it"">mmarco-sentence-flare-it</a>",17,0.06,,,,,,,,,,,,,,,,,,,,,,37.93,,,,,,,other-sts,STS
155,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nickprock/stsbm-sentence-flare-it"">stsbm-sentence-flare-it</a>",17,0.06,,,,,,,,,,,,,,,,,,,,,,65.71,,,,,,,other-sts,STS
156,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1"">nomic-embed-text-v1</a>",137,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.54,other-sts,STS
157,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated"">nomic-embed-text-v1-ablated</a>",137,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.42,other-sts,STS
158,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised"">nomic-embed-text-v1-unsupervised</a>",137,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.96,other-sts,STS
159,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-128</a>",138,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.28,other-sts,STS
160,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-256</a>",138,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,other-sts,STS
161,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-512</a>",138,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.14,other-sts,STS
162,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-64</a>",138,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.46,other-sts,STS
163,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5</a>",137,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.47,other-sts,STS
164,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nthakur/contriever-base-msmarco"">contriever-base-msmarco</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.81,other-sts,STS
165,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/princeton-nlp/sup-simcse-bert-base-uncased"">sup-simcse-bert-base-uncased</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.25,other-sts,STS
166,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/princeton-nlp/unsup-simcse-bert-base-uncased"">unsup-simcse-bert-base-uncased</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.52,other-sts,STS
167,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-base"">mmlw-e5-base</a>",278,1.04,,,,,,,,,,,,,,,,,,,,,,,40.36,,,,,,other-sts,STS
168,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-large"">mmlw-e5-large</a>",560,2.09,,,,,,,,,,,,,,,,,,,,,,,40.4,,,,,,other-sts,STS
169,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-small"">mmlw-e5-small</a>",118,0.44,,,,,,,,,,,,,,,,,,,,,,,40.63,,,,,,other-sts,STS
170,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-base"">mmlw-roberta-base</a>",124,0.46,,,,,,,,,,,,,,,,,,,,,,,40.36,,,,,,other-sts,STS
171,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-large"">mmlw-roberta-large</a>",435,1.62,,,,,,,,,,,,,,,,,,,,,,,39.32,,,,,,other-sts,STS
172,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-distilroberta"">st-polish-paraphrase-from-distilroberta</a>",125,0.47,,,,,,,,,,,,,,,,,,,,,,,40.36,,,,,,other-sts,STS
173,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-mpnet"">st-polish-paraphrase-from-mpnet</a>",125,0.47,,,,,,,,,,,,,,,,,,,,,,,37.34,,,,,,other-sts,STS
174,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-mpnet-base-v2"">all-mpnet-base-v2</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.42,other-sts,STS
175,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_glove.6B.300d"">glove.6B.300d</a>",120,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.54,other-sts,STS
176,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-base"">gtr-t5-base</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.58,other-sts,STS
177,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xxl"">gtr-t5-xxl</a>",4865,18.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.73,other-sts,STS
178,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/msmarco-bert-co-condensor"">msmarco-bert-co-condensor</a>",110,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.97,other-sts,STS
179,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,,,,,,,,,,,,,,,,,,,,74.62,,,,,,,,,other-sts,STS
180,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,,79.16,81.22,84.22,76.74,84.44,85.56,76.59,82.35,77.03,81.71,,,,,,,,,70.55,,,33.73,,,,,84.42,other-sts,STS
181,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,,79.1,80.85,83.28,74.9,86.11,85.14,81.17,84.24,83.41,82.51,,,,,,,,,74.3,,,33.64,,,,,86.82,other-sts,STS
182,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,,,,,,,,,,,,,,,,,,,,76.8,,,,,,,,84.01,other-sts,STS
183,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/spaces/mteb/leaderboard"">text2vec-base-multilingual</a>",,,,,,,,,,,,,,,,,,,,,,74.1,,,,,,,,,other-sts,STS
184,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/srikanthmalla/hkunlp-instructor-xl"">hkunlp-instructor-xl</a>",1241,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.56,other-sts,STS
185,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base"">gte-base</a>",109,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.73,other-sts,STS
186,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large"">gte-large</a>",335,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.07,other-sts,STS
187,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small"">gte-small</a>",33,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.57,other-sts,STS
188,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.39,other-sts,STS
189,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-4"">universal-sentence-encoder-4</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.08,other-sts,STS
190,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-large-5"">universal-sentence-encoder-large-5</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.93,other-sts,STS
191,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,,,,,,,,,,,,,,,,,,,,77.91,,,,,,,,80.28,other-sts,STS
192,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,,,,,,,,,,,,,,,,,,,,71.11,,,,,,,,81.24,other-sts,STS
193,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,,,,,,,,,,,,,,,,,,,,56.72,,,,,,,,,other-sts,STS
194,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,,,,,,,,,,,,,,,,,,,,55.49,,,,,,,,,other-sts,STS
195,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yessilver/new_model"">new_model</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.92,other-sts,STS
196,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-large-quant"">gte-large-quant</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4,other-sts,STS
197,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-large-sparse"">gte-large-sparse</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.45,other-sts,STS
198,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-small-quant"">gte-small-quant</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,other-sts,STS
199,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zhou-xl/bi-cse"">bi-cse</a>",560,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,70.01,85.99,other-sts,STS
200,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-ada-001</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.78,other-sts,STS
201,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-babbage-001</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.32,other-sts,STS
202,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-curie-001</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.02,other-sts,STS
203,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-davinci-001</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.08,other-sts,STS
204,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,,,,,,,,,,,,,,,,,,,,81.09,,,,,,64.5,,83.17,other-sts,STS
205,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large-256</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.34,other-sts,STS
206,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.56,other-sts,STS
207,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-small</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.24,other-sts,STS
