index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,AskUbuntuDupQuestions,MindSmallReranking,SciDocsRR,StackOverflowDupQuestions
89,128,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-2.7B-weightedmean-msmarco-specb-bitfit"">SGPT-2.7B-weightedmean-msmarco-specb-bitfit</a>",2685,10.0,2560,2048,54.67,59.63,31.72,77.72,49.61
63,129,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/MAY-A/jina-embeddings-v2-base-de-Q5_K_M-GGUF"">jina-embeddings-v2-base-de-Q5_K_M-GGUF</a>",,,,,54.64,60.56,30.4,78.09,49.5
187,130,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-de"">jina-embeddings-v2-base-de</a>",161,0.6,768,8192,54.64,60.56,30.4,78.09,49.5
138,131,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chris-code/jina-embeddings-v2-base-de-Q8_0-GGUF"">jina-embeddings-v2-base-de-Q8_0-GGUF</a>",,,,,54.64,60.56,30.4,78.09,49.5
146,132,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepfile/embedder-100p"">embedder-100p</a>",278,1.04,768,514,54.63,61.05,30.55,79.83,47.1
150,133,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/djovak/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,384,512,54.58,63.09,30.89,74.28,50.06
216,134,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-128</a>",138,0.51,128,8192,54.56,61.16,30.02,78.05,49.0
286,135,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yessilver/new_model"">new_model</a>",,,,,54.46,57.69,30.32,79.91,49.93
171,136,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small"">e5-small</a>",33,0.12,384,512,54.45,59.36,29.56,79.76,49.13
112,137,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-xs"">snowflake-arctic-embed-xs</a>",23,0.08,384,512,54.4,60.25,30.26,76.94,50.16
172,138,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small-v2"">e5-small-v2</a>",33,0.12,384,512,54.32,58.11,30.1,79.16,49.93
114,139,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/bge-micro-v2"">bge-micro-v2</a>",17,0.06,384,512,54.29,58.08,31.07,78.57,49.43
280,140,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed-kd"">b1ade-embed-kd</a>",335,1.25,1024,512,54.29,57.59,31.29,82.14,46.13
179,141,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,1536,2048,54.28,59.5,30.51,78.11,49.0
113,142,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/bge-micro"">bge-micro</a>",17,0.06,384,512,54.28,58.09,31.29,78.78,48.96
248,143,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-base"">gtr-t5-base</a>",110,0.41,768,512,54.23,60.86,31.33,73.71,51.01
212,144,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-sparse"">bge-small-en-v1.5-sparse</a>",,,,,54.14,56.97,31.38,79.46,48.75
257,145,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,768,512,54.0,61.51,30.27,74.88,49.34
86,146,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-1.3B-weightedmean-msmarco-specb-bitfit"">SGPT-1.3B-weightedmean-msmarco-specb-bitfit</a>",1341,4.99,2048,2048,54.0,58.13,31.34,77.21,49.32
72,147,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse"">LLM2Vec-Mistral-unsupervised</a>",7111,26.49,4096,32768,53.98,58.6,29.73,77.81,49.8
47,148,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Hum-Works/lodestone-base-4096-v1"">lodestone-base-4096-v1</a>",69,0.26,768,4096,53.95,58.79,32.02,78.54,46.44
66,149,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Marqo/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,53.87,57.88,30.28,78.13,49.2
255,150,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,768,514,53.8,60.16,30.15,78.09,46.79
127,151,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/andersonbcdefg/bge-small-4096"">bge-small-4096</a>",35,0.13,384,4096,53.64,58.54,30.98,77.2,47.85
254,152,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,384,512,53.62,60.49,30.37,77.78,45.85
75,153,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Bulbasaur"">Bulbasaur</a>",17,0.06,384,512,53.49,57.49,31.78,77.89,46.78
219,154,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-64</a>",138,0.51,64,8192,53.42,60.79,29.7,75.79,47.42
61,155,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-small"">bilingual-embedding-small</a>",118,0.44,384,512,53.37,56.79,30.92,78.61,47.16
214,156,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated"">nomic-embed-text-v1-ablated</a>",137,0.51,768,8192,53.32,57.59,31.29,75.51,48.89
307,157,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://www.elastic.co/guide/en/machine-learning/current/ml-nlp-elser.html"">elser-v2</a>",110,0.41,30522,512,53.27,58.31,30.75,75.62,48.4
221,158,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nthakur/contriever-base-msmarco"">contriever-base-msmarco</a>",110,0.41,768,512,53.14,56.69,31.58,76.51,47.78
70,159,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse"">LLM2Vec-Meta-Llama-3-unsupervised</a>",7505,27.96,4096,8192,53.09,57.16,30.1,76.28,48.82
256,160,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,768,512,53.09,59.73,30.2,73.96,48.46
186,161,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-s-en-v1"">jina-embedding-s-en-v1</a>",35,0.13,512,512,53.07,60.25,30.68,74.16,47.18
68,162,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse"">LLM2Vec-Llama-2-unsupervised</a>",6607,24.61,4096,4096,52.95,55.56,30.86,77.62,47.77
176,163,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,52.9,56.42,29.96,78.26,46.97
181,164,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,1024,2048,52.6,57.38,30.52,75.13,47.38
91,165,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit"">SGPT-5.8B-weightedmean-nli-bitfit</a>",5874,21.88,4096,2048,52.33,55.9,31.11,77.54,44.77
252,166,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/msmarco-bert-co-condensor"">msmarco-bert-co-condensor</a>",110,0.41,768,512,51.84,58.99,27.13,72.78,48.48
84,167,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/test24"">test24</a>",17,0.06,384,512,51.68,56.48,29.57,74.66,45.99
87,168,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,768,2048,50.58,55.84,30.4,71.34,44.74
85,169,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/test25"">test25</a>",17,0.06,384,512,50.55,55.77,29.04,72.91,44.49
79,170,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Wartortle"">Wartortle</a>",17,0.06,384,512,50.29,54.09,30.28,74.48,42.3
272,171,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore15"">nmc-nignore15</a>",,,,,50.04,54.19,29.79,72.88,43.31
273,172,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore30"">nmc-nignore30</a>",,,,,49.71,53.62,29.52,72.62,43.07
274,173,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore50"">nmc-nignore50</a>",,,,,49.6,54.33,29.35,72.11,42.59
78,174,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Venusaur"">Venusaur</a>",16,0.06,384,512,49.41,53.77,29.92,70.82,43.14
299,175,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-ada-001</a>",,,1024,2046,49.02,53.49,30.71,71.04,40.85
271,176,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-300-w75k-b10k"">nmc-300-w75k-b10k</a>",,,,,48.89,52.78,28.57,71.1,43.12
247,177,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,512,512,48.82,53.75,30.39,69.22,41.92
270,178,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-300-w50k-b10k"">nmc-300-w50k-b10k</a>",,,,,48.75,52.73,28.52,70.66,43.08
77,179,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Squirtle"">Squirtle</a>",16,0.06,384,512,48.51,52.34,30.09,71.04,40.57
240,180,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,768,512,48.42,52.75,29.81,68.72,42.42
244,181,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110,0.41,768,512,48.1,50.07,24.8,81.31,36.22
142,182,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/consciousAI/cai-lunaris-text-embeddings"">cai-lunaris-text-embeddings</a>",,,,,47.85,53.44,28.54,68.65,40.76
74,183,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse"">LLM2Vec-Sheared-Llama-unsupervised</a>",1280,4.77,2048,4096,47.7,52.7,29.52,67.76,40.82
88,184,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,768,2048,47.56,52.63,29.27,68.36,39.97
227,185,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/princeton-nlp/sup-simcse-bert-base-uncased"">sup-simcse-bert-base-uncased</a>",110,0.41,768,512,47.54,51.8,29.3,70.14,38.9
228,186,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/princeton-nlp/unsup-simcse-bert-base-uncased"">unsup-simcse-bert-base-uncased</a>",110,0.41,768,512,46.47,51.57,28.62,66.33,39.35
156,187,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,,,46.18,50.89,26.88,68.36,38.61
246,188,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_komninos"">komninos</a>",134,0.5,300,N/A,44.75,50.88,28.92,63.55,35.65
134,189,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bert-base-uncased"">bert-base-uncased</a>",110,0.41,768,512,43.44,45.84,28.37,64.94,34.62
245,190,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_glove.6B.300d"">glove.6B.300d</a>",120,0.45,300,N/A,43.29,49.57,27.01,62.56,34.03
11,191,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,1024,N/A,41.44,48.99,24.79,54.99,36.98
269,192,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,384,512,34.44,44.88,25.65,43.9,23.35
281,193,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed-kd_3"">b1ade-embed-kd_3</a>",335,1.25,1024,512,0.53,0.56,0.31,0.79,0.47000000000000003
2,194,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.aws.amazon.com/bedrock/latest/userguide/embeddings.html"">titan-embed-text-v1</a>",,,1536,8000,,,,88.87,
3,195,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,1024,,,,,,
4,196,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,1024,1024,,,,,
5,197,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,1536,16000,,,,,
7,198,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,1024,16000,,,,,
10,199,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-multilingual-2</a>",,,1024,32000,,,,,
13,201,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/AdrienB134/llm2vec-croissant-mntp"">llm2vec-croissant-mntp</a>",1280,4.77,2048,2048,,,,,
24,203,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-m3"">bge-m3</a>",567,2.11,1024,8192,,,,,
28,204,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BeastyZ/e5-R-mistral-7b"">e5-R-mistral-7b</a>",7242,26.98,4096,32768,,,,,
29,205,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,,,,53.99,,,
37,208,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational"">distilrubert-small-cased-conversational</a>",106,0.39,768,512,,,,,
38,209,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/rubert-base-cased"">rubert-base-cased</a>",180,0.67,768,512,,,,,
39,210,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/rubert-base-cased-sentence"">rubert-base-cased-sentence</a>",180,0.67,768,512,,,,,
41,212,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2"">STS-multilingual-mpnet-base-v2</a>",278,1.04,768,514,,,,,
42,213,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,768,512,,,,,
43,214,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,768,512,,,,,
44,215,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,768,512,,,,,
54,222,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Jaume/gemma-2b-embeddings"">gemma-2b-embeddings</a>",2506,9.34,2048,8192,,,,,
60,223,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-large-8k"">bilingual-embedding-large-8k</a>",568,2.12,1024,8194,,,,,
80,226,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro"">gte-micro</a>",17,0.06,384,512,,55.31,,,
81,227,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro-v2"">gte-micro-v2</a>",17,0.06,384,512,,,,,
82,228,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro-v3"">gte-micro-v3</a>",17,0.06,384,512,,,,,
83,229,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/gte-micro-v4"">gte-micro-v4</a>",19,0.07,384,512,,58.01,,,
92,230,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka"">Arabert-all-nli-triplet-Matryoshka</a>",135,0.5,768,512,,,,,
93,231,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet"">Arabic-MiniLM-L12-v2-all-nli-triplet</a>",118,0.44,384,512,,,,,
94,232,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka"">Arabic-all-nli-triplet-Matryoshka</a>",278,1.04,768,514,,,,,
95,233,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-labse-Matryoshka"">Arabic-labse-Matryoshka</a>",471,1.75,768,512,,,,,
96,234,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet"">Arabic-mpnet-base-all-nli-triplet</a>",109,0.41,768,514,,,,,
97,235,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka"">Marbert-all-nli-triplet-Matryoshka</a>",163,0.61,768,512,,,,,
98,236,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrdalieTech/Solon-embeddings-large-0.1"">Solon-embeddings-large-0.1</a>",560,2.09,1024,514,,,,,
99,237,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/OrlikB/st-polish-kartonberta-base-alpha-v1"">st-polish-kartonberta-base-alpha-v1</a>",124,0.46,768,514,,,,,
105,239,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Shimin/LLaMA-embeeding"">LLaMA-embeeding</a>",,,,,,48.66,,66.69,39.5
106,240,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Shimin/yiyouliao"">yiyouliao</a>",,,,,,59.82,,,
117,241,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Wissam42/sentence-croissant-llm-base"">sentence-croissant-llm-base</a>",1280,4.77,2048,2048,,,,,
120,242,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aari1995/German_Semantic_STS_V2"">German_Semantic_STS_V2</a>",336,1.25,1024,512,,,,,
122,243,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/ru-en-RoSBERTa"">ru-en-RoSBERTa</a>",404,1.5,1024,514,,,,,
123,244,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru"">sbert_large_mt_nlu_ru</a>",427,1.59,1024,514,,,,,
124,245,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ai-forever/sbert_large_nlu_ru"">sbert_large_nlu_ru</a>",427,1.59,1024,512,,,,,
136,246,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/biswa921/bge-m3"">bge-m3</a>",567,2.11,1024,8192,,61.53,,,
137,247,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/brahmairesearch/slx-v0.1"">slx-v0.1</a>",23,0.08,384,512,,,,,
139,248,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/LaBSE-en-ru"">LaBSE-en-ru</a>",129,0.48,768,512,,,,,
140,249,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/rubert-tiny"">rubert-tiny</a>",12,0.04,512,514,,,,,
141,250,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/cointegrated/rubert-tiny2"">rubert-tiny2</a>",29,0.11,2048,514,,,,,
144,251,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-base"">sentence-camembert-base</a>",110,0.41,768,512,,,,,
145,252,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,1024,512,,,,,
147,253,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepvk/USER-base"">USER-base</a>",124,0.46,768,512,,,,,
148,254,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepvk/USER-bge-m3"">USER-bge-m3</a>",359,1.34,1024,8192,,,,,
149,255,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepvk/deberta-v1-base"">deberta-v1-base</a>",124,0.46,768,512,,,,,
152,256,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dumyy/sft-bge-small"">sft-bge-small</a>",24,0.09,512,512,,,,,
157,257,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,768,512,,,,,
158,258,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,768,512,,,,,
159,259,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,1024,512,,,,,
160,260,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,768,512,,,,,
161,261,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,768,512,,,,,
177,262,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/herbert-base-retrieval-v2"">herbert-base-retrieval-v2</a>",125,0.47,768,514,,,,,
178,263,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/silver-retriever-base-v1"">silver-retriever-base-v1</a>",125,0.47,768,514,,,,,
197,264,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/bge-m3-custom-fr"">bge-m3-custom-fr</a>",568,2.12,1024,8194,,,,,
198,265,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,2048,2048,,,,,
199,266,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.2"">sentence_croissant_alpha_v0.2</a>",1280,4.77,2048,2048,,,,,
200,267,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.3"">sentence_croissant_alpha_v0.3</a>",1280,4.77,2048,2048,,,,,
201,268,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,2048,2048,,,,,
206,270,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mukaj/fin-mpnet-base"">fin-mpnet-base</a>",109,0.41,768,514,,,,,
224,273,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Retriever-v1"">NV-Retriever-v1</a>",7111,26.49,4096,512,,,,,
225,274,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/openbmb/MiniCPM-Embedding"">MiniCPM-Embedding</a>",2725,10.15,2304,2048,,,,,
229,275,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/qinxianliu/FAE-v1"">FAE-v1</a>",335,1.25,1024,512,,,,,
233,276,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-base"">mmlw-e5-base</a>",278,1.04,768,514,,,,,
234,277,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-large"">mmlw-e5-large</a>",560,2.09,1024,514,,,,,
235,278,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-e5-small"">mmlw-e5-small</a>",118,0.44,384,512,,,,,
236,279,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-base"">mmlw-roberta-base</a>",124,0.46,768,514,,,,,
237,280,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/mmlw-roberta-large"">mmlw-roberta-large</a>",435,1.62,1024,514,,,,,
238,281,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-distilroberta"">st-polish-paraphrase-from-distilroberta</a>",125,0.47,768,514,,,,,
239,282,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sdadas/st-polish-paraphrase-from-mpnet"">st-polish-paraphrase-from-mpnet</a>",125,0.47,768,514,,,,,
253,283,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,384,512,,,,,
260,284,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sergeyzh/LaBSE-ru-turbo"">LaBSE-ru-turbo</a>",128,0.48,768,512,,,,,
261,285,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sergeyzh/rubert-tiny-turbo"">rubert-tiny-turbo</a>",29,0.11,312,2048,,,,,
