index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,ArguAna,ClimateFEVER,CQADupstackRetrieval,DBPedia,FEVER,FiQA2018,HotpotQA,MSMARCO,NFCorpus,NQ,QuoraRetrieval,SCIDOCS,SciFact,Touche2020,TRECCOVID
164,90,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-xl"">instructor-xl</a>",1241,4.62,768,512,49.26,55.65,26.54,43.09,40.24,70.03,46.96,55.88,41.61,36.0,57.24,88.85,17.36,64.56,23.44,71.4
303,91,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,1536,8191,49.25,57.44,21.64,41.69,39.39,74.99,44.41,60.9,40.91,36.97,51.58,87.6,18.36,72.75,21.61,68.47
172,92,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small-v2"">e5-small-v2</a>",33,0.12,384,512,49.04,41.67,22.87,37.07,41.32,81.64,37.43,66.61,41.46,32.45,59.11,85.71,17.77,68.85,27.12,74.53
173,93,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,768,514,48.87,44.21,23.86,38.52,40.36,79.44,38.15,68.56,42.27,32.49,60.02,87.65,17.17,69.39,21.5,69.5
166,94,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base"">e5-base</a>",109,0.41,768,512,48.75,51.41,15.38,38.92,41.02,58.24,36.37,62.21,43.14,36.59,59.97,87.92,18.99,73.08,28.31,79.64
251,95,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xxl"">gtr-t5-xxl</a>",4865,18.12,768,512,48.48,53.77,27.21,38.56,41.28,74.08,46.78,59.67,44.05,34.18,57.24,89.09,15.88,66.77,26.76,51.9
135,96,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",,,,,48.22,47.28,29.39,39.62,39.03,73.97,35.84,57.26,41.12,35.78,53.15,74.71,18.62,72.11,23.98,81.37
215,97,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised"">nomic-embed-text-v1-unsupervised</a>",137,0.51,768,8192,48.0,54.81,24.71,41.4,40.2,74.39,39.86,63.7,34.99,35.68,48.55,88.19,20.17,71.98,19.17,62.2
250,98,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,768,512,47.96,52.81,27.01,37.35,39.74,72.18,44.19,58.91,43.52,33.34,56.16,88.91,15.71,64.2,25.26,60.09
188,99,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-en"">jina-embeddings-v2-base-en</a>",137,0.51,768,8192,47.87,44.18,23.53,39.34,35.05,72.33,41.58,61.38,40.92,32.45,60.44,88.2,19.86,66.68,26.24,65.91
216,100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-128</a>",138,0.51,128,8192,47.75,43.4,36.52,34.67,36.22,80.48,32.08,60.09,39.99,30.72,53.62,87.07,15.56,64.28,26.99,74.58
180,101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,2560,2048,47.67,48.33,23.36,37.82,34.54,71.96,35.12,55.12,40.25,33.66,50.62,88.01,18.5,69.43,25.17,83.21
163,102,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-large"">instructor-large</a>",335,1.25,768,512,47.57,57.05,27.74,43.82,36.68,72.69,45.45,55.18,39.65,34.09,50.1,88.44,18.55,64.43,21.56,58.06
249,103,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,768,512,47.42,52.09,26.9,36.62,39.55,72.66,42.79,57.85,42.73,32.63,55.09,88.47,15.51,63.42,28.29,56.68
66,104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Marqo/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,46.64,39.06,22.55,36.07,37.76,75.27,33.31,65.09,40.99,31.01,56.29,86.93,13.89,67.7,21.16,72.57
176,105,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,46.63,39.09,22.55,36.07,37.76,75.27,33.13,65.09,40.99,31.0,56.29,86.93,13.9,67.7,21.16,72.57
89,106,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-2.7B-weightedmean-msmarco-specb-bitfit"">SGPT-2.7B-weightedmean-msmarco-specb-bitfit</a>",2685,10.0,2560,2048,46.54,50.49,27.11,36.53,34.7,72.73,33.29,52.84,38.83,33.89,46.7,85.6,16.57,70.17,23.44,75.17
171,107,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small"">e5-small</a>",33,0.12,384,512,46.01,46.69,15.81,36.08,38.64,53.52,34.8,56.34,42.33,33.93,58.73,87.71,16.42,65.6,26.81,76.78
179,108,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,1536,2048,45.27,46.67,25.56,34.3,32.61,67.22,31.29,51.67,38.27,30.7,46.16,87.01,17.23,65.42,24.92,80.03
190,109,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-small-en"">jina-embeddings-v2-small-en</a>",33,0.12,512,8192,45.14,46.73,24.05,38.03,32.65,68.02,33.43,56.48,37.28,30.4,51.59,87.19,18.61,63.89,23.52,65.18
129,110,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2"">GIST-all-MiniLM-L6-v2</a>",23,0.08,384,512,45.12,51.25,25.16,41.77,34.83,73.17,37.85,52.59,36.54,31.34,46.1,88.07,21.44,64.4,20.79,51.47
162,111,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-base"">instructor-base</a>",110,0.41,768,512,45.12,52.03,27.95,40.95,33.34,71.85,39.18,54.19,37.76,31.59,45.88,88.19,17.09,57.83,20.37,58.55
195,112,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-3B5-embedding"">XLM-3B5-embedding</a>",,,,,44.99,39.21,25.02,38.91,38.79,78.0,45.02,57.14,36.51,31.57,52.83,87.79,15.62,69.32,13.87,45.22
115,113,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/gte-tiny"">gte-tiny</a>",23,0.08,384,512,44.92,53.64,24.71,37.8,35.97,70.11,31.42,55.7,34.51,32.04,43.03,87.04,19.07,67.51,22.08,59.21
185,114,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-l-en-v1"">jina-embedding-l-en-v1</a>",335,1.25,1024,512,44.81,46.48,21.21,37.96,34.13,71.9,37.27,54.95,40.34,32.24,51.4,88.09,18.45,59.76,20.73,57.25
248,115,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-base"">gtr-t5-base</a>",110,0.41,768,512,44.67,50.83,24.88,34.55,35.24,68.93,35.15,54.93,41.16,30.22,50.47,87.98,14.0,59.74,25.89,56.05
86,116,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-1.3B-weightedmean-msmarco-specb-bitfit"">SGPT-1.3B-weightedmean-msmarco-specb-bitfit</a>",1341,4.99,2048,2048,44.49,49.68,26.6,33.33,31.51,68.12,29.99,49.93,36.05,32.08,42.94,85.28,16.18,68.29,24.45,72.98
184,117,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-b-en-v1"">jina-embedding-b-en-v1</a>",110,0.41,768,512,44.03,49.01,21.48,37.48,32.44,73.29,34.06,52.78,37.77,30.38,47.88,87.63,17.63,59.39,18.59,60.57
76,118,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Ivysaur"">Ivysaur</a>",23,0.08,384,512,43.97,55.78,21.23,38.2,33.88,63.97,30.71,54.21,33.61,32.04,42.47,86.03,18.64,67.31,21.12,60.32
243,119,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-mpnet-base-v2"">all-mpnet-base-v2</a>",110,0.41,768,514,43.81,46.52,21.97,44.96,32.09,50.86,49.96,39.29,39.75,33.29,50.45,87.46,23.76,65.57,19.93,51.33
194,120,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-0B6-embedding"">XLM-0B6-embedding</a>",,,,,43.39,40.77,21.84,33.15,37.47,61.77,39.21,55.84,35.36,31.57,47.73,87.96,19.48,68.35,15.22,55.07
241,121,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,384,512,42.69,47.13,21.57,42.53,33.35,55.9,37.27,44.59,39.03,32.25,46.47,87.75,21.82,62.64,17.22,50.82
114,122,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/bge-micro-v2"">bge-micro-v2</a>",17,0.06,384,512,42.56,55.31,25.35,35.07,32.25,74.99,25.59,53.91,31.01,31.86,34.94,85.72,17.69,66.27,18.1,50.38
259,123,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,768,512,42.24,39.85,14.63,44.65,39.19,51.2,46.68,42.14,27.67,35.08,52.87,85.96,17.17,55.38,21.65,59.48
242,124,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,384,512,41.95,50.17,20.27,41.32,32.33,51.93,36.87,46.51,36.54,31.59,43.87,87.56,21.64,64.51,16.9,47.23
221,125,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nthakur/contriever-base-msmarco"">contriever-base-msmarco</a>",110,0.41,768,512,41.88,48.32,24.79,33.67,38.1,59.29,27.42,56.81,36.77,31.32,41.83,86.72,17.12,65.51,15.79,44.77
193,126,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/MegatronBert-1B3-embedding"">MegatronBert-1B3-embedding</a>",,,,,41.41,32.93,25.94,33.12,35.47,56.41,37.75,54.66,38.29,30.16,47.61,87.85,10.59,66.23,13.31,50.81
181,127,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,1024,2048,41.19,44.55,21.02,31.43,28.22,61.1,24.49,46.05,34.18,27.34,40.05,86.04,15.31,61.74,23.35,72.99
150,128,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/djovak/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,384,512,41.17,49.11,23.29,39.04,32.04,52.63,36.35,45.66,36.83,29.67,44.48,87.21,15.78,54.03,15.61,55.85
219,129,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-64</a>",138,0.51,64,8192,40.92,37.16,31.48,28.72,28.19,70.24,25.78,43.07,35.95,26.03,45.54,85.83,12.09,52.71,23.13,67.83
113,130,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/bge-micro"">bge-micro</a>",17,0.06,384,512,40.82,51.51,24.77,33.64,31.06,69.64,24.37,49.73,27.85,30.04,30.73,85.29,17.26,65.41,18.34,52.62
12,131,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/xhluca/bm25s"">bm25s</a>",,,,,39.84,49.28,13.62,31.86,29.91,48.09,25.14,56.91,21.89,32.08,28.5,80.42,15.78,68.7,33.05,62.31
70,132,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse"">LLM2Vec-Meta-Llama-3-unsupervised</a>",7505,27.96,4096,8192,39.19,51.73,23.58,32.4,26.78,53.42,28.56,52.37,17.47,26.28,37.65,84.64,10.39,66.36,12.82,63.34
186,133,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-s-en-v1"">jina-embedding-s-en-v1</a>",35,0.13,512,512,38.91,43.57,17.25,33.74,28.28,69.12,25.19,47.48,31.8,25.96,38.89,85.69,15.29,52.4,16.67,52.3
146,134,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/deepfile/embedder-100p"">embedder-100p</a>",278,1.04,768,514,38.79,52.03,21.82,34.46,26.51,56.32,30.59,42.09,27.68,26.43,37.93,85.56,16.6,59.95,18.85,45.1
258,135,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,768,512,38.47,39.4,10.61,40.78,33.65,36.12,44.71,37.17,25.17,33.18,46.29,85.85,15.97,50.91,22.51,54.77
72,136,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse"">LLM2Vec-Mistral-unsupervised</a>",7111,26.49,4096,32768,38.05,51.0,22.97,33.37,25.48,45.11,27.24,54.54,19.13,27.16,34.16,84.4,15.35,68.68,6.54,55.67
75,137,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Bulbasaur"">Bulbasaur</a>",17,0.06,384,512,37.94,44.8,17.69,38.2,32.97,45.91,21.29,51.52,29.49,26.78,32.6,85.3,15.31,63.23,16.3,47.77
87,138,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,768,2048,37.04,45.42,21.86,27.25,22.72,60.45,21.12,40.88,27.98,22.79,29.73,72.98,12.21,56.9,22.97,70.3
47,139,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Hum-Works/lodestone-base-4096-v1"">lodestone-base-4096-v1</a>",69,0.26,768,4096,36.99,49.82,23.22,31.75,27.77,59.39,25.33,41.66,24.56,24.76,32.94,84.78,15.26,56.03,19.0,38.58
68,140,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse"">LLM2Vec-Llama-2-unsupervised</a>",6607,24.61,4096,4096,36.75,47.09,20.67,30.78,25.81,43.48,24.62,48.46,18.81,26.81,33.21,86.15,10.0,64.48,10.18,60.67
257,141,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,768,512,36.71,39.27,11.36,38.96,31.55,36.21,43.55,33.95,23.96,31.1,42.02,85.73,15.38,49.91,21.63,46.11
127,142,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/andersonbcdefg/bge-small-4096"">bge-small-4096</a>",35,0.13,384,4096,36.08,52.45,19.0,30.71,25.27,50.13,22.14,41.33,22.15,29.05,23.45,83.63,14.95,61.96,17.47,47.52
255,143,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,768,514,35.34,48.91,15.27,31.32,26.22,56.76,22.96,37.03,26.6,25.49,33.6,86.4,13.97,50.3,17.4,37.87
256,144,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,768,512,33.63,44.85,10.37,35.23,27.77,26.17,34.83,33.2,20.7,28.65,36.32,85.49,14.15,45.76,20.3,40.7
254,145,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,384,512,33.37,44.88,18.49,30.7,22.63,52.66,20.33,30.01,23.72,23.45,29.8,86.55,13.78,48.37,16.06,39.12
252,146,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/msmarco-bert-co-condensor"">msmarco-bert-co-condensor</a>",110,0.41,768,512,32.96,45.15,16.96,27.72,27.86,45.68,15.62,35.61,29.57,22.29,29.85,86.51,10.13,52.31,8.57,40.54
91,147,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit"">SGPT-5.8B-weightedmean-nli-bitfit</a>",5874,21.88,4096,2048,32.34,35.07,17.57,29.98,26.1,38.64,18.59,33.99,15.83,28.26,24.63,84.68,13.55,46.66,16.18,55.35
273,148,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore30"">nmc-nignore30</a>",,,,,30.55,43.7,17.26,23.9,24.71,30.45,16.96,32.76,14.47,26.77,20.04,81.81,12.67,50.97,22.53,39.3
274,149,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore50"">nmc-nignore50</a>",,,,,30.52,43.53,17.79,23.47,24.58,30.62,16.2,32.94,14.26,26.7,19.41,81.71,12.67,51.92,22.11,39.84
272,150,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-nignore15"">nmc-nignore15</a>",,,,,30.11,43.92,16.71,23.93,23.79,28.93,16.12,31.97,14.46,25.36,20.41,81.33,12.58,48.62,22.67,40.91
79,151,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Wartortle"">Wartortle</a>",17,0.06,384,512,29.33,35.87,13.11,21.69,29.33,35.58,8.1,47.03,19.8,18.75,23.25,82.3,11.12,50.24,8.0,35.74
271,152,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-300-w75k-b10k"">nmc-300-w75k-b10k</a>",,,,,26.58,42.03,14.7,21.85,20.08,20.67,13.19,24.81,11.62,21.93,17.22,78.8,11.03,42.94,21.99,35.84
270,153,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/twadada/nmc-300-w50k-b10k"">nmc-300-w50k-b10k</a>",,,,,26.33,42.28,14.52,21.8,19.99,19.55,13.29,24.2,11.49,21.22,17.01,78.59,10.87,42.18,21.98,36.04
77,154,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Squirtle"">Squirtle</a>",16,0.06,384,512,26.17,31.14,10.02,18.63,25.66,29.18,6.42,39.88,16.53,15.64,19.99,79.94,9.93,42.42,7.75,39.48
74,155,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse"">LLM2Vec-Sheared-Llama-unsupervised</a>",1280,4.77,2048,4096,25.93,43.64,18.95,18.5,13.21,16.96,16.99,22.64,7.03,15.73,17.96,78.23,5.53,38.31,19.17,56.04
78,156,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Venusaur"">Venusaur</a>",16,0.06,384,512,25.51,34.8,8.35,19.16,21.32,26.08,11.71,38.38,16.96,14.02,20.74,74.94,9.39,46.0,10.51,30.27
227,157,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/princeton-nlp/sup-simcse-bert-base-uncased"">sup-simcse-bert-base-uncased</a>",110,0.41,768,512,21.82,38.33,11.98,14.5,19.73,20.41,10.41,22.9,11.0,12.42,16.08,79.62,7.53,29.59,9.9,22.93
245,158,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_glove.6B.300d"">glove.6B.300d</a>",120,0.45,300,N/A,21.62,36.3,14.44,15.47,18.28,14.99,10.09,19.18,9.6,13.87,12.87,71.32,8.04,29.58,13.99,36.22
246,159,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_komninos"">komninos</a>",134,0.5,300,N/A,21.22,30.96,14.87,16.79,15.88,15.56,10.49,20.77,9.75,11.79,12.75,71.57,8.47,29.53,13.17,35.92
88,160,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,768,2048,20.9,31.04,11.01,20.29,10.87,18.4,8.94,17.73,6.27,11.8,7.63,78.96,7.13,31.79,12.27,39.31
228,161,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/princeton-nlp/unsup-simcse-bert-base-uncased"">unsup-simcse-bert-base-uncased</a>",110,0.41,768,512,20.29,38.34,11.8,13.22,15.04,21.06,9.84,19.75,9.35,9.88,11.69,78.03,5.5,25.72,8.9,26.2
240,162,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,768,512,18.99,34.18,3.83,18.75,15.57,12.18,7.0,18.75,7.6,16.54,8.42,77.03,5.63,38.2,4.88,16.34
299,163,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/introducing-text-and-code-embeddings"">text-similarity-ada-001</a>",,,1024,2046,18.36,39.65,2.83,10.17,3.48,4.45,7.54,12.6,10.53,20.59,2.02,82.18,6.28,45.46,3.1,24.56
244,164,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110,0.41,768,512,15.88,32.67,6.86,14.6,4.14,5.45,5.64,5.46,5.59,0.85,5.99,64.65,0.0,47.88,8.46,29.91
156,165,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,,,13.47,18.3,1.79,8.87,3.92,1.5899999999999999,3.0,12.96,3.0,5.59,0.89,78.62,1.79,35.29,1.6800000000000002,24.82
134,166,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bert-base-uncased"">bert-base-uncased</a>",110,0.41,768,512,10.59,28.29,5.41,5.51,4.13,3.3,2.19,8.26,1.9100000000000001,4.3,2.62,61.03,2.8200000000000003,13.34,0.97,14.74
11,167,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,1024,N/A,7.94,12.86,0.36,4.12,1.53,0.77,1.73,5.5,1.09,2.44,0.64,71.14,0.78,4.04,1.06,10.97
2,168,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.aws.amazon.com/bedrock/latest/userguide/embeddings.html"">titan-embed-text-v1</a>",,,1536,8000,,48.83,,,,,40.38,,35.19,,51.08,,,73.5,,54.74
3,169,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.mistral.ai/guides/embeddings"">mistral-embed</a>",,,1024,,,,,,,,,,,,,,,,,
4,170,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,1024,1024,,,,,,,,,,,,,,,,
5,171,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-code-2</a>",,,1536,16000,,,,,,,,,,,,,,,,
7,172,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-law-2</a>",,,1024,16000,,,,,,,,,,,,,,,,
10,173,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-multilingual-2</a>",,,1024,32000,,,,,,,,,,,,,,,,
13,174,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/AdrienB134/llm2vec-croissant-mntp"">llm2vec-croissant-mntp</a>",1280,4.77,2048,2048,,,,,,,,,,,,,,,,
24,176,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-m3"">bge-m3</a>",567,2.11,1024,8192,,,,,,,,,,,,,,,,
37,180,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational"">distilrubert-small-cased-conversational</a>",106,0.39,768,512,,,,,,,,,,,,,,,,
38,181,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/rubert-base-cased"">rubert-base-cased</a>",180,0.67,768,512,,,,,,,,,,,,,,,,
39,182,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DeepPavlov/rubert-base-cased-sentence"">rubert-base-cased-sentence</a>",180,0.67,768,512,,,,,,,,,,,,,,,,
41,184,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Gameselo/STS-multilingual-mpnet-base-v2"">STS-multilingual-mpnet-base-v2</a>",278,1.04,768,514,,,,,,,,,,,,,,,,
42,185,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,768,512,,,,,,,,,,,,,,,,
43,186,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,768,512,,,,,,,,,,,,,,,,
44,187,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,768,512,,,,,,,,,,,,,,,,
54,194,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Jaume/gemma-2b-embeddings"">gemma-2b-embeddings</a>",2506,9.34,2048,8192,,,,,,,,,,,,,,,,
55,195,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/e5-large-v2-GGUF"">e5-large-v2-GGUF</a>",,,,,,46.42,22.21,,44.02,82.83,41.14,73.13,43.46,37.13,63.44,86.84,20.51,72.24,20.67,66.54
58,196,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-base"">bilingual-embedding-base</a>",278,1.04,768,514,,51.87,17.0,,35.08,61.54,29.97,64.15,37.7,32.59,51.92,87.56,16.93,68.47,16.07,49.44
59,197,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-large"">bilingual-embedding-large</a>",560,2.09,1024,514,,55.89,24.97,,30.91,71.86,38.26,62.04,32.11,33.38,48.92,87.58,18.83,68.55,16.76,52.92
60,198,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-large-8k"">bilingual-embedding-large-8k</a>",568,2.12,1024,8194,,,,,,,,,,,,,,,,
